SpielTyp;Spielstatus;Bezeichnung;Spielnummer;TagKurz;Spieldatum;Spielzeit;Teamname A;TeamLiga A;Vereinsnummer A;Teamname B;TeamLiga B;Vereinsnummer B;Spielort;Sportanlage;Ort;Wettspielfeld;
"Meisterschaft";"";"5. Liga / Gruppe  3";"128495";"So";"18.04.2027";"13:00";"C.F. España";"5.";"10336";"FC Bethlehem BE a";"5.";"10393";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"Senioren 40+ / MFV / Gruppe  2";"127361";"Mo";"19.04.2027";"19:15";"FC Ostermundigen";"Sen.40+";"10317";"C.F. España / Italiana";"Sen.40+";"10336";"Rüti 2, Ostermundigen - Hauptplatz Rüti 2";"Rüti 2";"Ostermundigen";"Hauptplatz Rüti 2";
"Meisterschaft";"";"Senioren 30+ / MFV / Gruppe  3";"127294";"Fr";"23.04.2027";"19:30";"FC Wabern";"Sen.30+";"10382";"C.F. España / Italiana";"Sen.30+";"10336";"Lerbermatt, Köniz/Wabern - Hauptplatz";"Lerbermatt";"Köniz/Wabern";"Hauptplatz";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128497";"Sa";"24.04.2027";"19:00";"FC Bern 1894";"5.";"10302";"C.F. España";"5.";"10336";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 2";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 2";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126137";"So";"25.04.2027";"10:15";"Portugal Futebol Clube";"4.";"10384";"C.F. España";"4.";"10336";"Ried - Niederwangen (Gemeinde Köniz),   - Kunststoffrasen";"Ried - Niederwangen (Gemeinde Köniz)";" ";"Kunststoffrasen";
"Meisterschaft";"";"Senioren 30+ / MFV / Gruppe  3";"127300";"Mo";"26.04.2027";"19:30";"C.F. España / Italiana";"Sen.30+";"10336";"FC Goldstern";"Sen.30+";"10306";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126147";"So";"02.05.2027";"11:00";"C.F. España";"4.";"10336";"FC Jedinstvo";"4.";"10355";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128506";"So";"02.05.2027";"13:00";"C.F. España";"5.";"10336";"FC Jedinstvo";"5.";"10355";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"Senioren 40+ / MFV / Gruppe  2";"127364";"Mo";"03.05.2027";"19:30";"C.F. España / Italiana";"Sen.40+";"10336";"SC Münchenbuchsee / Ittigen";"Sen.40+";"10314";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"Senioren 30+ / MFV / Gruppe  3";"127301";"Fr";"07.05.2027";"19:30";"SC Wohlensee";"Sen.30+";"10390";"C.F. España / Italiana";"Sen.30+";"10336";"Ey, Hinterkappelen - Hauptplatz";"Ey";"Hinterkappelen";"Hauptplatz";
